time,wea,tem,hum,win,dir,winclass,tembody,year,month,day,hour,day_of_year,week_of_year,day_of_week,is_workday,load
2017-01-01 00:00:00,12.0,-4.0,55.0,10.0,1.0,2.0,-4.0,2017,1,1,0,1,52,6,0,13169.2
2017-01-01 01:00:00,12.0,-3.0,58.0,10.0,1.0,2.0,-3.0,2017,1,1,1,1,52,6,0,12652.3
2017-01-01 02:00:00,12.0,-2.0,61.0,10.0,1.0,2.0,-2.0,2017,1,1,2,1,52,6,0,12118.5
2017-01-01 03:00:00,12.0,-1.0,64.0,10.0,1.0,2.0,-2.0,2017,1,1,3,1,52,6,0,11837.9
2017-01-01 04:00:00,12.0,-2.0,66.0,10.0,1.0,2.0,-2.0,2017,1,1,4,1,52,6,0,11709.1
2017-01-01 05:00:00,23.0,-3.0,68.0,10.0,4.0,2.0,-3.0,2017,1,1,5,1,52,6,0,11569.0
2017-01-01 06:00:00,23.0,-4.0,71.0,10.0,4.0,2.0,-4.0,2017,1,1,6,1,52,6,0,11277.0
2017-01-01 07:00:00,23.0,-3.0,67.0,10.0,4.0,2.0,-3.0,2017,1,1,7,1,52,6,0,11431.8
2017-01-01 08:00:00,14.0,-3.0,63.0,10.0,4.0,2.0,-3.0,2017,1,1,8,1,52,6,0,12474.2
2017-01-01 09:00:00,14.0,-2.0,60.0,10.0,4.0,2.0,-2.0,2017,1,1,9,1,52,6,0,13692.6
2017-01-01 10:00:00,14.0,1.0,51.0,10.0,4.0,2.0,0.0,2017,1,1,10,1,52,6,0,14416.2
2017-01-01 11:00:00,14.0,3.0,43.0,10.0,1.0,2.0,2.0,2017,1,1,11,1,52,6,0,14523.4
2017-01-01 12:00:00,14.0,5.0,35.0,12.0,1.0,3.0,5.0,2017,1,1,12,1,52,6,0,14260.9
2017-01-01 13:00:00,14.0,5.0,36.0,12.0,1.0,3.0,4.0,2017,1,1,13,1,52,6,0,13649.5
2017-01-01 14:00:00,14.0,5.0,36.0,12.0,1.0,3.0,4.0,2017,1,1,14,1,52,6,0,13248.0
2017-01-01 15:00:00,14.0,5.0,37.0,5.0,1.0,4.0,4.0,2017,1,1,15,1,52,6,0,13155.5
2017-01-01 16:00:00,14.0,4.0,41.0,12.0,3.0,3.0,3.0,2017,1,1,16,1,52,6,0,13589.3
2017-01-01 17:00:00,23.0,2.0,46.0,12.0,3.0,3.0,1.0,2017,1,1,17,1,52,6,0,14554.2
2017-01-01 18:00:00,23.0,0.0,51.0,12.0,3.0,3.0,-1.0,2017,1,1,18,1,52,6,0,15290.0
2017-01-01 19:00:00,23.0,0.0,50.0,12.0,9.0,3.0,-1.0,2017,1,1,19,1,52,6,0,14991.8
2017-01-01 20:00:00,14.0,-1.0,49.0,12.0,8.0,3.0,-2.0,2017,1,1,20,1,52,6,0,14853.3
2017-01-01 21:00:00,14.0,-2.0,49.0,12.0,8.0,3.0,-2.0,2017,1,1,21,1,52,6,0,14777.6
2017-01-01 22:00:00,14.0,-2.0,47.0,5.0,5.0,4.0,-3.0,2017,1,1,22,1,52,6,0,14463.2
2017-01-01 23:00:00,14.0,-2.0,45.0,7.0,5.0,5.0,-3.0,2017,1,1,23,1,52,6,0,13371.0
2017-01-02 00:00:00,12.0,-2.0,43.0,7.0,5.0,5.0,-3.0,2017,1,2,0,2,1,0,0,12369.5
2017-01-02 01:00:00,12.0,-1.0,43.0,13.0,5.0,6.0,-3.0,2017,1,2,1,2,1,0,0,12140.3
2017-01-02 02:00:00,12.0,-1.0,43.0,13.0,5.0,6.0,-4.0,2017,1,2,2,2,1,0,0,11869.2
2017-01-02 03:00:00,12.0,0.0,43.0,13.0,5.0,6.0,-4.0,2017,1,2,3,2,1,0,0,11631.1
2017-01-02 04:00:00,12.0,0.0,43.0,13.0,5.0,6.0,-4.0,2017,1,2,4,2,1,0,0,11553.5
2017-01-02 05:00:00,12.0,-1.0,44.0,13.0,5.0,6.0,-5.0,2017,1,2,5,2,1,0,0,11601.4
2017-01-02 06:00:00,12.0,-1.0,44.0,13.0,5.0,6.0,-5.0,2017,1,2,6,2,1,0,0,11418.2
2017-01-02 07:00:00,12.0,0.0,42.0,13.0,5.0,6.0,-4.0,2017,1,2,7,2,1,0,0,11494.2
2017-01-02 08:00:00,12.0,0.0,40.0,7.0,5.0,5.0,-3.0,2017,1,2,8,2,1,0,0,12685.9
