time,wea,tem,hum,win,dir,winclass,tembody,year,month,day,hour,day_of_year,week_of_year,day_of_week,is_workday,load
2017-01-01 00:00:00,23,11,75,11,1,3,11,2017,1,1,0,1,52,6,0,7251.11
2017-01-01 01:00:00,23,11,76,11,3,3,11,2017,1,1,1,1,52,6,0,6658.93
2017-01-01 02:00:00,23,11,76,9,8,2,11,2017,1,1,2,1,52,6,0,6357.23
2017-01-01 03:00:00,23,11,77,9,2,2,11,2017,1,1,3,1,52,6,0,6157.5
2017-01-01 04:00:00,23,11,78,9,4,2,11,2017,1,1,4,1,52,6,0,6087.92
2017-01-01 05:00:00,18,11,79,9,4,2,11,2017,1,1,5,1,52,6,0,5986.25
2017-01-01 06:00:00,18,11,80,9,4,2,11,2017,1,1,6,1,52,6,0,6283.19
2017-01-01 07:00:00,18,11,79,9,8,2,11,2017,1,1,7,1,52,6,0,6637.22
2017-01-01 08:00:00,11,12,79,9,9,2,12,2017,1,1,8,1,52,6,0,7419.11
2017-01-01 09:00:00,11,12,79,9,9,2,12,2017,1,1,9,1,52,6,0,8096.41
2017-01-01 10:00:00,11,12,76,11,3,3,12,2017,1,1,10,1,52,6,0,8554.97
2017-01-01 11:00:00,18,13,74,11,1,3,13,2017,1,1,11,1,52,6,0,8904.06
2017-01-01 12:00:00,18,13,72,3,1,4,13,2017,1,1,12,1,52,6,0,8829.74
2017-01-01 13:00:00,18,14,71,3,3,4,13,2017,1,1,13,1,52,6,0,8403.84
2017-01-01 14:00:00,18,14,70,3,9,4,14,2017,1,1,14,1,52,6,0,8250.18
2017-01-01 15:00:00,18,14,70,6,9,5,14,2017,1,1,15,1,52,6,0,8230.44
2017-01-01 16:00:00,18,14,70,3,3,4,14,2017,1,1,16,1,52,6,0,8269.47
2017-01-01 17:00:00,18,13,71,3,5,4,13,2017,1,1,17,1,52,6,0,8721.52
2017-01-01 18:00:00,18,13,72,3,2,4,13,2017,1,1,18,1,52,6,0,9152.05
2017-01-01 19:00:00,18,13,75,3,7,4,12,2017,1,1,19,1,52,6,0,9132.43
2017-01-01 20:00:00,11,12,79,11,5,3,12,2017,1,1,20,1,52,6,0,9002.74
2017-01-01 21:00:00,11,11,82,11,5,3,11,2017,1,1,21,1,52,6,0,8978.9
2017-01-01 22:00:00,11,11,83,11,1,3,11,2017,1,1,22,1,52,6,0,8495.82
2017-01-01 23:00:00,4,11,83,9,9,2,11,2017,1,1,23,1,52,6,0,7484.91
2017-01-02 00:00:00,4,10,84,9,8,2,10,2017,1,2,0,2,1,0,0,6886.57
2017-01-02 01:00:00,4,10,83,9,8,2,10,2017,1,2,1,2,1,0,0,6389.71
2017-01-02 02:00:00,4,10,83,11,9,3,10,2017,1,2,2,2,1,0,0,5991.49
2017-01-02 03:00:00,4,10,82,11,9,3,10,2017,1,2,3,2,1,0,0,5920.43
2017-01-02 04:00:00,4,10,83,11,9,3,10,2017,1,2,4,2,1,0,0,5965.76
2017-01-02 05:00:00,11,10,83,11,9,3,10,2017,1,2,5,2,1,0,0,5914.64
