time	GDP	GDP_rate	2_add_value	3_add_value	2_ratio	3_ratio	av_GDP	urban_ratio	wea	tem	hum	win	dir	winclass	tembody	load
2017-01-01 00:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	75	11	1	3	11	7251.11
2017-01-01 01:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	76	11	3	3	11	6658.93
2017-01-01 02:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	76	9	8	2	11	6357.23
2017-01-01 03:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	77	9	2	2	11	6157.5
2017-01-01 04:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	78	9	4	2	11	6087.92
2017-01-01 05:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	11	79	9	4	2	11	5986.25
2017-01-01 06:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	11	80	9	4	2	11	6283.19
2017-01-01 07:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	11	79	9	8	2	11	6637.22
2017-01-01 08:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	79	9	9	2	12	7419.11
2017-01-01 09:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	79	9	9	2	12	8096.41
2017-01-01 10:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	76	11	3	3	12	8554.97
2017-01-01 11:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	74	11	1	3	13	8904.06
2017-01-01 12:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	72	3	1	4	13	8829.74
2017-01-01 13:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	14	71	3	3	4	13	8403.84
2017-01-01 14:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	14	70	3	9	4	14	8250.18
2017-01-01 15:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	14	70	6	9	5	14	8230.44
2017-01-01 16:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	14	70	3	3	4	14	8269.47
2017-01-01 17:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	71	3	5	4	13	8721.52
2017-01-01 18:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	72	3	2	4	13	9152.05
2017-01-01 19:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	75	3	7	4	12	9132.43
2017-01-01 20:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	79	11	5	3	12	9002.74
2017-01-01 21:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	82	11	5	3	11	8978.9
2017-01-01 22:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	83	11	1	3	11	8495.82
2017-01-01 23:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	11	83	9	9	2	11	7484.91
2017-01-02 00:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	10	84	9	8	2	10	6886.57
2017-01-02 01:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	10	83	9	8	2	10	6389.71
2017-01-02 02:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	10	83	11	9	3	10	5991.49
2017-01-02 03:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	10	82	11	9	3	10	5920.43
2017-01-02 04:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	10	83	11	9	3	10	5965.76
2017-01-02 05:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	10	83	11	9	3	10	5914.64
2017-01-02 06:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	84	11	9	3	10	6243.03
2017-01-02 07:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	82	11	9	3	11	6712.1
2017-01-02 08:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	11	81	11	9	3	11	7884.45
2017-01-02 09:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	12	80	11	9	3	12	9164.04
2017-01-02 10:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	74	11	3	3	13	9680.97
2017-01-02 11:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	14	69	11	3	3	14	10064.3
2017-01-02 12:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	15	63	11	1	3	15	9574.55
2017-01-02 13:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	16	60	11	5	3	16	9407.66
2017-01-02 14:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	17	57	9	7	2	17	9355.03
2017-01-02 15:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	18	54	9	2	2	18	9205.28
2017-01-02 16:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	12	17	56	11	7	3	17	9293.96
2017-01-02 17:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	17	58	11	7	3	17	9483.01
2017-01-02 18:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	16	61	3	7	4	16	9957.37
2017-01-02 19:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	15	65	3	7	4	15	10096.4
2017-01-02 20:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	14	70	6	7	5	13	9825.64
2017-01-02 21:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	74	6	7	5	12	9749.68
2017-01-02 22:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	76	6	7	5	12	9027.31
2017-01-02 23:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	12	78	3	7	4	11	8143.3
2017-01-03 00:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	81	3	7	4	11	7432.91
2017-01-03 01:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	81	3	7	4	11	6959.85
2017-01-03 02:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	82	11	7	3	11	6774.01
2017-01-03 03:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	83	11	7	3	11	6559.15
2017-01-03 04:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	11	83	11	7	3	11	6523.53
2017-01-03 05:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	83	9	5	2	11	6528.03
2017-01-03 06:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	11	83	9	5	2	11	6844.91
2017-01-03 07:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	23	12	82	9	1	2	11	7866.73
2017-01-03 08:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	12	81	9	3	2	12	8781.19
2017-01-03 09:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	80	7	9	1	12	9991.85
2017-01-03 10:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	13	76	9	3	2	13	10597.4
2017-01-03 11:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	14	72	9	1	2	14	11012.4
2017-01-03 12:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	15	68	9	5	2	15	10360.7
2017-01-03 13:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	18	15	65	9	7	2	15	10286.5
2017-01-03 14:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	16	63	11	7	3	16	10385
2017-01-03 15:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	16	61	11	7	3	16	10386.1
2017-01-03 16:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	15	63	11	7	3	15	10513.6
2017-01-03 17:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	15	64	3	7	4	15	10779.8
2017-01-03 18:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	15	66	3	7	4	15	10819.7
2017-01-03 19:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	11	14	69	3	5	4	14	10721.1
2017-01-03 20:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	14	71	3	5	4	13	10440.6
2017-01-03 21:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	13	73	3	1	4	13	10259
2017-01-03 22:00:00	19500.3	9.3	8596.61	9564.04	9.5	9.9	6.4	64.08	4	13	74	3	9	4	13	9448.88
