time,wea,tem,hum,win,dir,winclass,tembody,year,month,day,hour,day_of_year,week_of_year,day_of_week,is_workday,load
2017-01-01 00:00:00,11,10,93,7,4,5,9,2017,1,1,0,1,52,6,0,14635.0
2017-01-01 01:00:00,11,10,93,7,4,5,8,2017,1,1,1,1,52,6,0,13644.8
2017-01-01 02:00:00,23,9,93,7,4,5,8,2017,1,1,2,1,52,6,0,12877.2
2017-01-01 03:00:00,23,9,93,7,1,5,7,2017,1,1,3,1,52,6,0,12530.0
2017-01-01 04:00:00,23,9,93,13,1,6,7,2017,1,1,4,1,52,6,0,12170.0
2017-01-01 05:00:00,14,9,93,13,1,6,7,2017,1,1,5,1,52,6,0,12287.1
2017-01-01 06:00:00,14,9,93,13,1,6,7,2017,1,1,6,1,52,6,0,12516.0
2017-01-01 07:00:00,14,10,91,6,1,7,8,2017,1,1,7,1,52,6,0,12928.4
2017-01-01 08:00:00,5,10,89,6,1,7,9,2017,1,1,8,1,52,6,0,13801.0
2017-01-01 09:00:00,5,11,86,6,1,7,9,2017,1,1,9,1,52,6,0,14553.6
2017-01-01 10:00:00,5,12,83,11,1,8,10,2017,1,1,10,1,52,6,0,15291.1
2017-01-01 11:00:00,5,13,79,11,1,8,11,2017,1,1,11,1,52,6,0,15414.8
2017-01-01 12:00:00,5,13,75,4,1,9,11,2017,1,1,12,1,52,6,0,15090.5
2017-01-01 13:00:00,5,13,76,11,1,8,12,2017,1,1,13,1,52,6,0,14725.7
2017-01-01 14:00:00,5,14,77,11,1,8,12,2017,1,1,14,1,52,6,0,14338.6
2017-01-01 15:00:00,5,14,78,11,1,8,12,2017,1,1,15,1,52,6,0,14197.8
2017-01-01 16:00:00,5,14,80,6,1,7,12,2017,1,1,16,1,52,6,0,14495.5
2017-01-01 17:00:00,15,14,83,6,1,7,12,2017,1,1,17,1,52,6,0,15706.3
2017-01-01 18:00:00,15,14,85,6,1,7,12,2017,1,1,18,1,52,6,0,16336.8
2017-01-01 19:00:00,15,13,88,13,1,6,12,2017,1,1,19,1,52,6,0,16408.2
2017-01-01 20:00:00,17,13,90,13,1,6,12,2017,1,1,20,1,52,6,0,16459.0
2017-01-01 21:00:00,17,12,92,13,1,6,11,2017,1,1,21,1,52,6,0,16448.9
2017-01-01 22:00:00,17,12,93,13,3,6,11,2017,1,1,22,1,52,6,0,15923.6
2017-01-01 23:00:00,17,12,94,7,3,5,11,2017,1,1,23,1,52,6,0,14886.9
2017-01-02 00:00:00,17,12,94,7,3,5,11,2017,1,2,0,2,1,0,0,13438.9
2017-01-02 01:00:00,17,11,94,7,3,5,11,2017,1,2,1,2,1,0,0,12634.4
2017-01-02 02:00:00,23,11,94,5,9,4,11,2017,1,2,2,2,1,0,0,12089.0
2017-01-02 03:00:00,23,11,94,5,9,4,11,2017,1,2,3,2,1,0,0,11828.3
2017-01-02 04:00:00,23,11,93,5,8,4,11,2017,1,2,4,2,1,0,0,11876.1
2017-01-02 05:00:00,14,12,93,5,8,4,11,2017,1,2,5,2,1,0,0,12032.9
2017-01-02 06:00:00,14,12,92,7,8,5,11,2017,1,2,6,2,1,0,0,12428.4
2017-01-02 07:00:00,14,12,90,7,8,5,12,2017,1,2,7,2,1,0,0,13204.9
2017-01-02 08:00:00,23,13,88,7,9,5,12,2017,1,2,8,2,1,0,0,14571.9
2017-01-02 09:00:00,23,14,86,7,9,5,13,2017,1,2,9,2,1,0,0,16075.6
2017-01-02 10:00:00,23,14,82,7,1,5,14,2017,1,2,10,2,1,0,0,16811.3
2017-01-02 11:00:00,23,15,78,7,4,5,14,2017,1,2,11,2,1,0,0,16832.6
2017-01-02 12:00:00,23,15,74,7,2,5,15,2017,1,2,12,2,1,0,0,16466.9
2017-01-02 13:00:00,23,15,73,7,2,5,15,2017,1,2,13,2,1,0,0,16580.4
2017-01-02 14:00:00,23,16,73,7,2,5,15,2017,1,2,14,2,1,0,0,16416.3
2017-01-02 15:00:00,23,16,72,7,2,5,16,2017,1,2,15,2,1,0,0,16398.0
2017-01-02 16:00:00,23,15,76,13,7,6,15,2017,1,2,16,2,1,0,0,17074.3
2017-01-02 17:00:00,23,14,80,13,7,6,14,2017,1,2,17,2,1,0,0,17535.5
2017-01-02 18:00:00,23,14,83,13,7,6,13,2017,1,2,18,2,1,0,0,18057.6
2017-01-02 19:00:00,23,13,86,13,7,6,11,2017,1,2,19,2,1,0,0,18044.7
2017-01-02 20:00:00,23,12,89,13,7,6,10,2017,1,2,20,2,1,0,0,18233.6
2017-01-02 21:00:00,23,11,91,13,7,6,9,2017,1,2,21,2,1,0,0,17974.8
2017-01-02 22:00:00,23,10,92,13,2,6,9,2017,1,2,22,2,1,0,0,17056.5
2017-01-02 23:00:00,15,10,92,13,2,6,8,2017,1,2,23,2,1,0,0,15803.0
2017-01-03 00:00:00,15,10,93,7,2,5,8,2017,1,3,0,3,1,1,1,14419.7
2017-01-03 01:00:00,15,9,93,7,2,5,8,2017,1,3,1,3,1,1,1,13412.8
2017-01-03 02:00:00,15,9,93,7,2,5,8,2017,1,3,2,3,1,1,1,12742.0
2017-01-03 03:00:00,15,9,93,7,2,5,7,2017,1,3,3,3,1,1,1,12391.9
2017-01-03 04:00:00,15,9,92,7,2,5,8,2017,1,3,4,3,1,1,1,12345.2
2017-01-03 05:00:00,15,9,91,7,2,5,8,2017,1,3,5,3,1,1,1,12794.4
2017-01-03 06:00:00,11,9,90,7,2,5,8,2017,1,3,6,3,1,1,1,13487.6
2017-01-03 07:00:00,11,10,87,7,7,5,9,2017,1,3,7,3,1,1,1,14802.7
2017-01-03 08:00:00,11,11,84,7,7,5,11,2017,1,3,8,3,1,1,1,16970.9
2017-01-03 09:00:00,11,12,80,7,7,5,12,2017,1,3,9,3,1,1,1,19333.3
2017-01-03 10:00:00,11,13,74,7,7,5,13,2017,1,3,10,3,1,1,1,20184.4
