time,wea,tem,hum,win,dir,winclass,tembody,year,month,day,hour,day_of_year,week_of_year,day_of_week,is_workday,load
2017-01-01 00:00:00,14,-1,85,5,9,4,-4,2017,1,1,0,1,52,6,0,8419.79
2017-01-01 01:00:00,14,-2,85,5,9,4,-4,2017,1,1,1,1,52,6,0,8137.56
2017-01-01 02:00:00,14,-2,84,5,9,4,-5,2017,1,1,2,1,52,6,0,7863.68
2017-01-01 03:00:00,14,-3,84,5,9,4,-5,2017,1,1,3,1,52,6,0,7812.83
2017-01-01 04:00:00,14,-3,84,12,9,3,-5,2017,1,1,4,1,52,6,0,7676.27
2017-01-01 05:00:00,16,-3,85,12,9,3,-5,2017,1,1,5,1,52,6,0,7700.73
2017-01-01 06:00:00,16,-4,85,12,8,3,-5,2017,1,1,6,1,52,6,0,7917.7
2017-01-01 07:00:00,16,-3,83,10,9,2,-4,2017,1,1,7,1,52,6,0,8244.89
2017-01-01 08:00:00,16,-2,81,10,9,2,-3,2017,1,1,8,1,52,6,0,8729.03
2017-01-01 09:00:00,16,-1,79,10,9,2,-2,2017,1,1,9,1,52,6,0,9549.72
2017-01-01 10:00:00,16,1,75,10,9,2,0,2017,1,1,10,1,52,6,0,9746.23
2017-01-01 11:00:00,14,3,71,10,9,2,2,2017,1,1,11,1,52,6,0,9895.42
2017-01-01 12:00:00,14,4,67,12,9,3,4,2017,1,1,12,1,52,6,0,9526.86
2017-01-01 13:00:00,16,4,68,12,9,3,4,2017,1,1,13,1,52,6,0,9552.04
2017-01-01 14:00:00,25,4,70,12,9,3,4,2017,1,1,14,1,52,6,0,9634.43
2017-01-01 15:00:00,25,4,71,12,8,3,3,2017,1,1,15,1,52,6,0,9491.66
2017-01-01 16:00:00,25,2,77,12,8,3,2,2017,1,1,16,1,52,6,0,9665.21
2017-01-01 17:00:00,17,1,82,12,8,3,0,2017,1,1,17,1,52,6,0,10098.7
2017-01-01 18:00:00,17,0,87,12,8,3,-1,2017,1,1,18,1,52,6,0,10000.6
2017-01-01 19:00:00,17,-1,86,12,8,3,-2,2017,1,1,19,1,52,6,0,9542.88
2017-01-01 20:00:00,16,-1,84,5,8,4,-2,2017,1,1,20,1,52,6,0,9561.96
2017-01-01 21:00:00,16,-2,83,5,8,4,-3,2017,1,1,21,1,52,6,0,9404.44
2017-01-01 22:00:00,16,-2,79,7,8,5,-3,2017,1,1,22,1,52,6,0,9056.58
2017-01-01 23:00:00,16,-2,76,7,4,5,-3,2017,1,1,23,1,52,6,0,8598.86
2017-01-02 00:00:00,14,-2,72,7,4,5,-3,2017,1,2,0,2,1,0,0,8066.72
2017-01-02 01:00:00,14,-1,68,7,4,5,-3,2017,1,2,1,2,1,0,0,7810.53
2017-01-02 02:00:00,14,-1,64,7,4,5,-3,2017,1,2,2,2,1,0,0,7643.93
2017-01-02 03:00:00,14,0,60,7,4,5,-4,2017,1,2,3,2,1,0,0,7533.67
2017-01-02 04:00:00,14,0,57,7,8,5,-4,2017,1,2,4,2,1,0,0,7574.95
2017-01-02 05:00:00,14,-1,55,7,8,5,-4,2017,1,2,5,2,1,0,0,7498.96
2017-01-02 06:00:00,14,-1,52,7,9,5,-4,2017,1,2,6,2,1,0,0,7927.47
2017-01-02 07:00:00,14,0,50,7,3,5,-3,2017,1,2,7,2,1,0,0,8361.82
2017-01-02 08:00:00,14,1,48,7,1,5,-2,2017,1,2,8,2,1,0,0,9368.87
2017-01-02 09:00:00,14,1,46,7,5,5,-2,2017,1,2,9,2,1,0,0,10197.6
2017-01-02 10:00:00,14,3,43,7,3,5,0,2017,1,2,10,2,1,0,0,10540.7
2017-01-02 11:00:00,14,4,40,7,8,5,2,2017,1,2,11,2,1,0,0,10661.4
2017-01-02 12:00:00,14,6,37,7,4,5,3,2017,1,2,12,2,1,0,0,10114.7
2017-01-02 13:00:00,14,6,37,7,4,5,3,2017,1,2,13,2,1,0,0,10073.8
2017-01-02 14:00:00,14,5,37,7,4,5,3,2017,1,2,14,2,1,0,0,10052.4
2017-01-02 15:00:00,14,5,37,7,4,5,3,2017,1,2,15,2,1,0,0,9980.43
2017-01-02 16:00:00,14,4,41,7,4,5,2,2017,1,2,16,2,1,0,0,10196.8
2017-01-02 17:00:00,14,3,45,7,8,5,0,2017,1,2,17,2,1,0,0,10497.8
2017-01-02 18:00:00,14,1,49,5,8,4,-1,2017,1,2,18,2,1,0,0,10648.9
2017-01-02 19:00:00,14,1,51,7,8,5,-2,2017,1,2,19,2,1,0,0,10197.6
2017-01-02 20:00:00,14,0,54,7,9,5,-2,2017,1,2,20,2,1,0,0,10156.2
2017-01-02 21:00:00,14,-1,56,13,9,6,-3,2017,1,2,21,2,1,0,0,9992.94
2017-01-02 22:00:00,14,-1,57,13,9,6,-3,2017,1,2,22,2,1,0,0,9670.84
2017-01-02 23:00:00,14,-1,58,13,9,6,-2,2017,1,2,23,2,1,0,0,9149.42
2017-01-03 00:00:00,14,-1,59,13,9,6,-2,2017,1,3,0,3,1,1,1,8544.79
2017-01-03 01:00:00,14,-1,59,13,9,6,-3,2017,1,3,1,3,1,1,1,8286.77
2017-01-03 02:00:00,14,0,59,7,9,5,-3,2017,1,3,2,3,1,1,1,8168.65
2017-01-03 03:00:00,14,0,59,7,9,5,-3,2017,1,3,3,3,1,1,1,8033.77
2017-01-03 04:00:00,14,0,60,7,9,5,-3,2017,1,3,4,3,1,1,1,7997.53
2017-01-03 05:00:00,14,0,60,7,9,5,-3,2017,1,3,5,3,1,1,1,8060.58
2017-01-03 06:00:00,14,0,60,7,9,5,-3,2017,1,3,6,3,1,1,1,8548.28
2017-01-03 07:00:00,14,1,58,7,9,5,-2,2017,1,3,7,3,1,1,1,9277.92
2017-01-03 08:00:00,14,1,57,7,9,5,-1,2017,1,3,8,3,1,1,1,10160.3
2017-01-03 09:00:00,14,2,55,7,8,5,-1,2017,1,3,9,3,1,1,1,11117.9
